index,type,sourceName,sourceVersion,unit,creationDate,datetime,endDate,hr,device
158,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 01:00:00,2022-12-16 02:00:00+01:00,60.0,
159,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 01:00:00,2022-12-16 02:00:00+01:00,71.0,
160,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 02:00:00,2022-12-16 03:00:00+01:00,59.0,
161,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 02:00:00,2022-12-16 03:00:00+01:00,72.0,
162,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 03:00:00,2022-12-16 04:00:00+01:00,57.0,
163,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 03:00:00,2022-12-16 04:00:00+01:00,77.0,
164,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,55.0,
165,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,66.0,
166,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,83.0,
167,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,84.0,
168,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 05:00:00,2022-12-16 06:00:00+01:00,54.0,
169,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 05:00:00,2022-12-16 06:00:00+01:00,73.0,
170,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 06:00:00,2022-12-16 07:00:00+01:00,52.0,
171,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 06:00:00,2022-12-16 07:00:00+01:00,63.0,
172,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 07:00:00,2022-12-16 08:00:00+01:00,52.0,
173,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 07:00:00,2022-12-16 08:00:00+01:00,129.0,
174,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,56.0,
175,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,95.0,
176,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,106.0,
177,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,106.0,
178,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,122.0,
179,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,125.0,
180,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,136.0,
181,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,136.0,
182,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 09:00:00,2022-12-16 10:00:00+01:00,76.0,
183,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:12:55+01:00,2022-12-16 09:00:00,2022-12-16 10:00:00+01:00,108.0,
184,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:55:07+01:00,2022-12-16 00:00:00,2022-12-16 01:00:00+01:00,62.0,
185,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:55:07+01:00,2022-12-16 00:00:00,2022-12-16 01:00:00+01:00,74.0,
186,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:55:07+01:00,2022-12-16 01:00:00,2022-12-16 02:00:00+01:00,60.0,
187,HeartRate,Mi Fitness,2,count/min,2022-12-16 09:55:07+01:00,2022-12-16 01:00:00,2022-12-16 02:00:00+01:00,71.0,
